name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW200115_042309-v2,1.7,0.03,,0.05,2.0,GW200115_042309,0.23,,GWTC-3-confident,,-1.7,-0.5,-2.5,/GWTC-3/,2,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200115_042309/v2,-1.7,0.06,7.2,,7.4,5.9,1263097407.7,-0.42,11.3,1e-05,1.8,1.44,,290.0,,,0.3,150.0,-0.07,-0.02,0.85,-100.0,-0.28,2.43,0.99,-0.15
GW200112_155838-v1,5.7,0.07,,2.6,6.7,GW200112_155838,0.15,,GWTC-3-confident,,-4.6,-0.2,-4.5,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW200112_155838/v1,-4.3,0.24,60.8,,63.9,35.6,1262879936.0,-0.15,19.8,1e-05,5.3,28.3,,1250.0,,,0.1,430.0,-2.1,-0.08,4.4,-460.0,-5.9,27.4,0.99,0.06
GW191230_180458-v1,19.0,0.26,,8.2,14.0,GW191230_180458,0.26,,GWTC-3-confident,,-12.0,-0.4,-9.6,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191230_180458/v1,-11.0,0.69,82.0,,86.0,49.4,1261764316.4,-0.31,10.4,0.05,17.0,37.0,,4300.0,,,0.3,2100.0,-5.6,-0.27,11.0,-1900.0,-12.0,36.5,0.96159,-0.05
GW191222_033537-v1,16.0,0.23,,7.1,10.9,GW191222_033537,0.2,,GWTC-3-confident,,-11.0,-0.3,-8.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,-9.9,0.51,75.5,,79.0,45.1,1261020955.1,-0.25,12.5,1e-05,15.3,34.7,,3000.0,,,0.2,1700.0,-5.0,-0.26,9.3,-1700.0,-10.5,33.8,0.99,-0.04
GW191219_163120-v1,2.2,0.05,,0.12,2.2,GW191219_163120,0.07,,GWTC-3-confident,,-2.7,-0.8,-2.8,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,-2.7,0.11,32.2,,32.3,31.1,1260808298.4,-0.09,9.1,4.0,2.2,1.17,,550.0,,,0.5,240.0,-0.17,-0.03,0.07,-160.0,-0.06,4.31,0.8224,0.0
GW191216_213338-v1,2.7,0.02,,0.22,4.6,GW191216_213338,0.13,,GWTC-3-confident,,-0.93,-0.2,-2.2,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,-0.93,0.07,18.87,,19.8,12.1,1260567236.4,-0.06,18.6,1e-05,2.81,7.7,,340.0,,,0.2,120.0,-0.19,-0.03,1.6,-130.0,-1.9,8.33,0.99,0.11
GW191215_223052-v1,5.3,0.13,,2.2,7.1,GW191215_223052,0.17,,GWTC-3-confident,,-4.3,-0.4,-4.1,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,-4.1,0.35,41.4,,43.3,24.9,1260484270.3,-0.21,11.2,1e-05,5.1,18.1,,1930.0,,,0.3,890.0,-1.7,-0.14,3.8,-860.0,-4.1,18.4,0.99,-0.04
GW191204_171526-v1,1.64,0.04,,0.41,3.3,GW191204_171526,0.08,,GWTC-3-confident,,-0.95,-0.3,-1.7,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,-0.93,0.13,19.18,,20.19,11.7,1259514944.0,-0.05,17.4,1e-05,1.71,8.4,,640.0,,,0.2,200.0,-0.28,-0.05,1.3,-260.0,-1.7,8.56,0.99,0.16
GW191204_110529-v1,9.1,0.25,,3.6,10.8,GW191204_110529,0.25,,GWTC-3-confident,,-7.8,-0.6,-5.9,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,-7.5,0.34,45.0,,47.1,27.3,1259492747.5,-0.26,8.9,3.3,8.7,19.2,,1900.0,,,0.4,1700.0,-3.2,-0.18,5.5,-1100.0,-6.0,19.8,0.74239,0.05
GW191129_134029-v1,2.4,0.05,,0.43,4.1,GW191129_134029,0.16,,GWTC-3-confident,,-1.2,-0.3,-2.1,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,-1.2,0.16,16.8,,17.5,10.7,1259070047.1,-0.08,13.1,1e-05,2.5,6.7,,790.0,,,0.2,260.0,-0.28,-0.06,1.5,-330.0,-1.7,7.31,0.99,0.06
GW191127_050227-v1,39.0,0.4,,11.7,47.0,GW191127_050227,0.34,,GWTC-3-confident,,-22.0,-0.6,-20.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,-21.0,0.57,76.0,,80.0,53.0,1258866165.5,-0.36,9.2,0.25,39.0,24.0,,3400.0,,,0.7,3100.0,-9.1,-0.29,17.0,-1900.0,-14.0,29.9,0.73996,0.18
GW191126_115259-v1,3.4,0.12,,0.95,5.5,GW191126_115259,0.15,,GWTC-3-confident,,-2.0,-0.5,-2.2,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,-2.0,0.3,19.6,,20.7,12.1,1258804397.6,-0.11,8.3,3.2,3.5,8.3,,1620.0,,,0.2,740.0,-0.71,-0.13,1.9,-740.0,-2.4,8.65,0.70041,0.21
GW191113_071753-v1,10.5,0.18,,1.1,12.0,GW191113_071753,0.37,,GWTC-3-confident,,-9.8,-1.1,-14.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191113_071753/v1,-10.0,0.26,34.0,,34.5,29.0,1257664691.8,-0.29,7.9,26.0,11.0,5.9,,1370.0,,,0.5,1150.0,-1.0,-0.11,4.4,-620.0,-1.3,10.7,0.68339,0.0
GW191109_010717-v1,20.0,0.18,,9.6,11.0,GW191109_010717,0.42,,GWTC-3-confident,,-16.0,-0.5,-11.0,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191109_010717/v1,-15.0,0.25,107.0,,112.0,65.0,1257296855.2,-0.31,17.3,0.00018,18.0,47.0,,1290.0,,,0.5,1130.0,-7.5,-0.12,15.0,-650.0,-13.0,47.5,0.99,-0.29
GW191105_143521-v1,2.1,0.07,,0.61,3.7,GW191105_143521,0.13,,GWTC-3-confident,,-1.3,-0.5,-1.6,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191105_143521/v1,-1.2,0.23,17.6,,18.5,10.7,1256999739.9,-0.09,9.7,0.012,2.1,7.7,,1150.0,,,0.3,430.0,-0.45,-0.09,1.4,-480.0,-1.9,7.82,0.99,-0.02
GW191103_012549-v1,3.7,0.09,,0.66,6.2,GW191103_012549,0.16,,GWTC-3-confident,,-1.8,-0.5,-2.2,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191103_012549/v1,-1.7,0.2,19.0,,20.0,11.8,1256779567.5,-0.1,8.9,0.46,3.8,7.9,,990.0,,,0.3,500.0,-0.57,-0.09,1.7,-470.0,-2.4,8.34,0.94318,0.21
