name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
200311_103121-v1,,,,,,GW200311_103121,,,GWTC-3-marginal,,,,,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW200311_103121/v1,,,,,,,1267957899.7,,9.2,1.3,,,,,,,,,,,,,,,0.194,
200219_201407-v1,,,,,,200219_201407,,,GWTC-3-marginal,,,,,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-marginal/200219_201407/v1,,,,,,,1266178465.9,,13.59,0.22,,,,,,,,,,,,,,,0.481,
200214_224526-v2,,,,,,200214_224526,,,GWTC-3-marginal,,,,,/GWTC-3/,2,https://gwosc.org/eventapi/json/GWTC-3-marginal/200214_224526/v2,,,,,,,1265755544.5,,13.133,0.131444,,,,,,,,,,,,,,,0.9095,
200201_203549-v1,,,,,,GW200201_203549,,,GWTC-3-marginal,,,,,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW200201_203549/v1,,,,,,,1264624567.0,,9.046,1.4,,,,,,,,,,,,,,,0.116,
200121_031748-v1,,,,,,200121_031748,,,GWTC-3-marginal,,,,,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-marginal/200121_031748/v1,,,,,,,1263611886.9,,10.69,1.1,,,,,,,,,,,,,,,0.23,
GW200105_162426-v2,1.5,0.02,,0.08,1.7,GW200105_162426,0.13,,GWTC-3-marginal,,-1.4,-0.4,-1.7,/GWTC-3/,2,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW200105_162426/v2,-1.4,0.06,10.8,,11.0,9.1,1262276684.0,-0.18,13.7,0.2,1.5,1.91,,270.0,,,0.2,120.0,-0.08,-0.02,0.33,-110.0,-0.24,3.42,0.362,0.0
191118_212859-v1,,,,,,GW191118_212859,,,GWTC-3-marginal,,,,,/GWTC-3/,1,https://gwosc.org/eventapi/json/GWTC-3-marginal/GW191118_212859/v1,,,,,,,1258147757.4,,9.121,1.3,,,,,,,,,,,,,,,0.0452,
