name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190513_205428-v1,8.6,0.13,,3.8,9.5,GW190513_205428,0.28,,GWTC-2,,-5.9,,-9.2,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190513_205428/v1,-5.8,0.37,51.6,29.5,53.9,35.7,1241816086.8,-0.17,12.28987773592599,1e-05,8.2,18.0,,2060.0,-2.5,5.6,,880.0,-1.9,-0.13,7.7,-800.0,-4.1,21.6,1.0,0.11
GW190512_180714-v1,3.8,0.09,,1.3,5.3,GW190512_180714,0.12,,GWTC-2,,-3.5,,-5.8,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190512_180714/v1,-3.5,0.27,34.5,18.6,35.9,23.3,1241719652.4,-0.13,12.26449406234808,1e-05,3.8,12.6,,1430.0,-0.8,0.9,,550.0,-1.0,-0.1,3.6,-550.0,-2.5,14.6,1.0,0.03
GW190503_185404-v1,9.4,0.11,,4.2,9.2,GW190503_185404,0.2,,GWTC-2,,-8.3,,-8.1,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190503_185404/v1,-7.7,0.27,68.6,38.6,71.7,43.3,1240944862.3,-0.26,12.20867275049248,1e-05,8.8,28.4,,1450.0,-6.0,5.3,,690.0,-4.2,-0.11,7.7,-630.0,-8.0,30.2,1.0,-0.03
GW190426_152155-v1,3.5,0.04,,0.08,3.9,GW190426_152155,0.32,,GWTC-2,,-1.5,,-2.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190426_152155/v1,,0.08,,2.6,7.2,5.7,1240327333.3,-0.3,10.12041364677255,1.443741335492165,,1.5,,370.0,-0.01,0.01,,180.0,-0.08,-0.03,0.8,-160.0,-0.5,2.41,,-0.03
GW190425-v2,0.3,0.01,,0.02,0.6,GW190425,0.11,,GWTC-2,,-0.1,,-0.3,/GWTC-2/,2,https://gwosc.org/eventapi/json/GWTC-2/GW190425/v2,,0.03,,1.49,3.4,2.0,1240215503.0,-0.05,13.02922972476558,0.000751854698112682,,1.4,,160.0,-0.0006,0.0008,,70.0,-0.02,-0.02,0.3,-70.0,-0.3,1.44,,0.06
GW190424_180648-v1,13.3,0.23,,5.8,11.1,GW190424_180648,0.22,,GWTC-2,,-10.7,,-7.3,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190424_180648/v1,-10.1,0.39,68.9,43.4,72.6,40.5,1240164426.1,-0.22,10.0939769744873,0.7822864941910456,12.4,31.8,,2200.0,-4.8,6.0,,1580.0,-4.6,-0.19,7.6,-1160.0,-7.7,31.0,0.906492,0.13
GW190421_213856-v1,13.4,0.19,,5.9,10.4,GW190421_213856,0.22,,GWTC-2,,-9.2,,-6.9,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190421_213856/v1,-8.7,0.49,69.7,46.6,72.9,41.3,1239917954.3,-0.27,10.55069569549375,0.0007738314255311893,12.5,31.9,,2880.0,-6.0,6.6,,1370.0,-4.2,-0.21,8.0,-1380.0,-8.8,31.2,0.999768,-0.06
GW190413_134308-v1,17.4,0.31,,8.2,13.5,GW190413_134308,0.25,,GWTC-2,,-11.9,,-10.7,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190413_134308/v1,-11.4,0.71,75.5,57.0,78.8,47.5,1239198206.7,-0.29,9.970916853163907,0.043657319879159086,16.4,31.8,,4450.0,-9.8,8.6,,2480.0,-5.4,-0.3,11.7,-2120.0,-10.8,33.0,0.9849,-0.03
GW190413_052954-v1,13.3,0.29,,5.5,12.6,GW190413_052954,0.29,,GWTC-2,,-9.7,,-8.1,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190413_052954/v1,-9.2,0.59,56.0,39.4,58.6,34.7,1239168612.5,-0.34,8.555396161858269,0.07168326663702794,12.5,23.7,,3550.0,-6.6,7.7,,2270.0,-4.1,-0.24,7.3,-1660.0,-6.7,24.6,0.97779,-0.01
GW190412-v3,3.8,0.03,,0.4,4.7,GW190412,0.08,,GWTC-2,,-3.7,,-5.1,/GWTC-2/,3,https://gwosc.org/eventapi/json/GWTC-2/GW190412/v3,-3.8,0.15,37.3,15.2,38.4,30.1,1239082262.2,-0.11,19.674587670393503,1e-05,3.9,8.3,,740.0,-0.2,0.2,,140.0,-0.3,-0.03,1.6,-170.0,-0.9,13.3,1.0,0.25
GW190408_181802-v1,4.2,0.06,,1.9,5.1,GW190408_181802,0.14,,GWTC-2,,-3.0,,-3.4,/GWTC-2/,1,https://gwosc.org/eventapi/json/GWTC-2/GW190408_181802/v1,-2.8,0.29,41.1,23.7,43.0,24.6,1238782700.3,-0.19,14.79290708414002,1e-05,3.9,18.4,,1550.0,-1.7,1.4,,400.0,-1.2,-0.1,3.3,-600.0,-3.6,18.3,1.0,-0.03
