chirp_mass,false_alarm_rate,combined_far,mass1,mass2,snr,spin1z,spin2z,Gamma0,Gamma1,end_time,template_duration,chisq,likelihood,sigmasq,coalescence_phase,bank_chisq,eventid
6.4551019668579,3.7838543804126e-12,8.9279810833464e-19,14.338296,4.1252065,5.8695865,0.16565751,0.59049678,6088854.0,549.0,1253326744,24.048308839452,0.91159511,37.519440441646,67612623.812946,0.97368574,0.0,S190924h
3.3142044274337,0.0,4.7829942217882e-08,19.63349,1.0296752,6.0151496,0.32074127,0.0,200703.0,NaN,1253278577,19.152088165283,1.245531,0.0,13616223.0,-0.04189099,NaN,S190923y
29.053270339966,0.0037941001555758,9.7352300212294e-10,34.684841,32.121094,9.7764187,0.21161352,-0.9510231,9478869.0,759.0,1252627040,2.7047908691981,1.6870619,15.816279062012,124583668.64477,2.6609678,0.0,S190915ak
1.5128829479218,0.12270891282403,3.5844861998481e-08,2.7036612,1.1568336,8.4289761,-0.01355253,0.0087006632,919650.0,389.0,1252139416,245.54465725791,0.7762686,12.422616207748,9016563.5638954,-0.23713624,0.0,S190910h
9.0167846679688,0.0,3.7171798972224e-09,67.023636,2.3952496,6.159358,-0.048650902,-0.80840766,0.0,0.0,1252113997,10.46121227003,0.55332202,0.0,0.0,0.8122409,0.0,S190910d
1.3924409151077,0.022940196220862,7.027203369739e-09,1.8298149,1.4030885,8.489851,-0.037369806,0.036177631,1683290.0,324.0,1251415879,281.23153639637,0.70751506,14.324157272101,9321032.313353,-1.5755113,0.0,S190901ap
16.948337554932,0.00013862531634863,4.6291112716376e-11,30.383705,12.924967,7.6266661,-0.24138632,0.69482648,9922701.0,775.0,1251010527,5.5553032095744,0.929681,18.720829171375,150155249.67151,-0.96004856,0.0,S190828l
32.89066696167,2.6617896155261e-15,8.4739716677881e-22,52.002979,27.973516,10.493406,-0.025977064,0.32933086,9475991.0,779.0,1251009263,2.0852798805798,1.0740707,42.855344499705,129878280.76352,-0.39856383,0.0,S190828j
6.3968968391418,5.2246407380404e-27,2.0326250142179e-33,20.846231,3.0455875,10.643331,-0.22075345,0.38675523,8697742.0,545.0,1249852257,24.587792193478,2.2063408,68.264326728006,61064431.360602,-1.7179416,0.0,S190814bv
10.064141273499,4.726618375039e-17,2.5267921534347e-23,21.592342,6.6136613,7.683836,0.45995906,-0.60057747,9852692.0,716.0,1248331528,12.094115873042,0.90024728,46.175873122765,104506439.65272,3.0712037,0.0,S190728q
31.815196990967,0.00024878976923321,1.3782066439242e-10,47.362637,28.55905,8.4474859,-0.95342147,0.030223127,9476216.0,750.0,1248242631,2.4410480279451,1.084553,17.12948479896,140823182.22731,-1.6590819,0.0,S190727h
10.422463484926,0.0,3.8010550106926e-09,15.348199,9.4483747,7.0517716,0.18899558,0.18899558,20343.0,NaN,1247616534,2.7703232765198,0.85510665,0.0,105208968.0,1.7142484,NaN,S190720a
1.5775053501129,0.28861574593572,3.6484489800262e-08,2.7160277,1.2453752,7.947402,0.85022157,0.038774237,561509.0,792.0,1247495730,231.75590392663,0.53428364,13.219616064683,5415044.1202318,1.8690721,0.0,S190718y
9.979942,,5.264777e-12,15.509114,8.619239,7.856771,-0.296088,0.762227,NaN,NaN,1246527224,3.227783,0.955075,,NaN,1.429955,NaN,S190707q
75.435146269636,0.0,1.9005275053463e-09,131.45724,58.937244,2.5165477,0.77388322,0.77388322,24418.0,NaN,1246487219,0.15180115401745,NaN,0.0,626037297.18206,-2.8161941,NaN,S190706ai
37.593248422063,0.0,1.9155375553236e-08,85.94265,23.478758,5.3944025,-0.46544775,-0.46544775,114708.0,NaN,1246048404,0.15299399197102,NaN,0.0,66695342.005048,-2.2062888,NaN,S190701ah
