name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
200214_224526-v1,,,,,,200214_224526,,,O3_IMBH_marginal,,,,,/O3_IMBH_marginal/,1,https://gwosc.org/eventapi/json/O3_IMBH_marginal/200214_224526/v1,,,,,,,1265755544.5,,13.1,0.1314,,,,,,,,,,,,,,,,
200114_020818-v1,,,,,,200114_020818,,,O3_IMBH_marginal,,,,,/O3_IMBH_marginal/,1,https://gwosc.org/eventapi/json/O3_IMBH_marginal/200114_020818/v1,,,,,,,1263002916.2,,14.5,0.058,,,,,,,,,,,,,,,,
191225_215715-v1,,,,,,191225_215715,,,O3_IMBH_marginal,,,,,/O3_IMBH_marginal/,1,https://gwosc.org/eventapi/json/O3_IMBH_marginal/191225_215715/v1,,,,,,,1261346253.9,,20.5,0.47,,,,,,,,,,,,,,,,
191223_014159-v1,,,,,,191223_014159,,,O3_IMBH_marginal,,,,,/O3_IMBH_marginal/,1,https://gwosc.org/eventapi/json/O3_IMBH_marginal/191223_014159/v1,,,,,,,1261100537.6,,14.19,0.46,,,,,,,,,,,,,,,,
190924_232654-v1,,,,,,190924_232654,,,O3_IMBH_marginal,,,,,/O3_IMBH_marginal/,1,https://gwosc.org/eventapi/json/O3_IMBH_marginal/190924_232654/v1,,,,,,,1253402833.0,,13.27,0.4,,,,,,,,,,,,,,,,
