name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW190531_023648-v1,,,,,,GW190531_023648,,,GWTC-2.1-marginal,,,,,/GWTC-2.1/,1,https://gwosc.org/eventapi/json/GWTC-2.1-marginal/GW190531_023648/v1,,,,,,,1243305426.3,,9.951,0.41,,,,,,,,,,,,,,,,
GW190426_152155-v2,,,,,,GW190426_152155,,,GWTC-2.1-marginal,,,,,/GWTC-2.1/,2,https://gwosc.org/eventapi/json/GWTC-2.1-marginal/GW190426_152155/v2,,,,,,,1240327333.3,,10.12,0.91,,,,,,,,,,,,,,,,
