name,total_mass_source_upper,redshift_upper,p_astro_lower,chirp_mass_source_upper,mass_1_source_upper,commonName,chi_eff_upper,far_lower,catalog.shortName,far_upper,total_mass_source_lower,network_matched_filter_snr_lower,mass_1_source_lower,reference,version,jsonurl,final_mass_source_lower,redshift,final_mass_source,chirp_mass,total_mass_source,mass_1_source,GPS,chi_eff_lower,network_matched_filter_snr,far,final_mass_source_upper,mass_2_source,p_astro_upper,luminosity_distance,chirp_mass_lower,chirp_mass_upper,network_matched_filter_snr_upper,luminosity_distance_upper,chirp_mass_source_lower,redshift_lower,mass_2_source_upper,luminosity_distance_lower,mass_2_source_lower,chirp_mass_source,p_astro,chi_eff
GW200115-v1,1.5,0.03,,0.05,1.8,GW200115_042309,0.23,,O3_Discovery_Papers,,-1.4,,-2.1,/o3_eventdata_docs/,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW200115_042309/v1,,0.07,,2.58,7.1,5.7,1263097407.7,-0.35,11.6,1e-05,,1.5,,300.0,-0.01,0.01,,150.0,-0.07,-0.02,0.7,-100.0,-0.3,2.42,,-0.19
GW200105-v1,1.1,0.02,,0.08,1.2,GW200105_162426,0.11,,O3_Discovery_Papers,,-1.2,,-1.5,/o3_eventdata_docs/,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW200105_162426/v1,,0.06,,3.62,10.9,8.9,1262276684.0,-0.15,13.9,0.36,,1.9,,280.0,-0.01,0.01,,110.0,-0.07,-0.02,0.3,-110.0,-0.2,3.41,,-0.01
GW190814-v1,1.0,0.009,,0.06,1.1,GW190814,0.06,,O3_Discovery_Papers,,-0.9,-0.2,-1.0,/o3_eventdata_docs/,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190814/v1,,0.053,,6.41,25.8,23.2,1249852257.0,-0.061,25.0,,,2.59,,241.0,-0.02,0.02,0.1,41.0,-0.06,-0.01,0.08,-45.0,-0.09,6.09,,-0.002
GW190521-v1,,,,,,GW190521,,,O3_Discovery_Papers,,,,,/o3_eventdata_docs/,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190521/v1,,,,,,,1242442967.4,,,,,,,,,,,,,,,,,,,
GW190521-v2,29.0,0.28,,13.0,21.0,GW190521,0.27,,O3_Discovery_Papers,,-17.0,-0.4,-14.0,/o3_eventdata_docs/,2,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190521/v2,,0.82,,117.0,150.0,85.0,1242442967.4,-0.36,14.6,,,66.0,,5300.0,-14.0,12.0,0.4,2400.0,-8.0,-0.34,17.0,-2600.0,-18.0,64.0,,0.08
GW190425-v1,0.1,0.01,,0.02,0.17,GW190425,0.015,,O3_Discovery_Papers,,-0.1,-0.43,-0.09,/o3_eventdata_docs/,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190425/v1,,0.04,,1.4868,3.3,1.74,1240215503.0,-0.013,12.46,,,1.56,,159.0,-0.0003,0.0003,0.29,69.0,-0.02,-0.02,0.08,-72.0,-0.14,1.44,,0.012
GW190412-v1,,,,,,GW190412,,,O3_Discovery_Papers,,,,,/o3_eventdata_docs,1,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190412/v1,,,,,,,1239082262.2,,,,,,,,,,,,,,,,,,,
GW190412-v2,3.8,0.03,,0.4,4.6,GW190412,0.08,,O3_Discovery_Papers,,-3.9,-0.3,-5.3,/o3_eventdata_docs/,2,https://gwosc.org/eventapi/json/O3_Discovery_Papers/GW190412/v2,,0.15,,15.2,38.4,30.1,1239082262.2,-0.11,19.0,,,8.3,,740.0,-0.1,0.3,0.2,130.0,-0.4,-0.03,1.6,-160.0,-0.9,13.3,,0.25
